,Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
229,Timofey Mozgov,CLE,29,39,28,11,18,102.6,2.8,15.7,22.6,0.4,15.1,0.8,50,6,4,3.8,14.6,0.057
229,Ty Lawson,IND,28,38,16,22,24.6,105.5,1.4,5.7,8.9,0.9,20.7,0.1,4,10.2,7.9,7.3,25.9,0.057
229,Wayne Ellington,BKN,28,43,10,33,18.5,102.9,1.8,9.7,14.3,0.6,22,0.1,4.5,6.2,4.6,5,17.3,0.057
235,Dewayne Dedmon,ORL,26,26,11,15,11.7,97.7,2.5,20.3,32,0.4,19.6,1,59.5,4.7,3,3.1,9.7,0.056
235,Elijah Millsap,UTA,28,20,9,11,8.6,93.2,1.5,15.2,22.5,0.4,25.9,0.2,12.5,2.5,2.2,2.1,5.7,0.056
235,Gorgui Dieng,MIN,26,45,14,31,23.7,105.2,4.8,20.7,31.5,1.1,29,1,50.5,8.8,6.3,5.6,21,0.056
235,KJ McDaniels,HOU,23,15,5,10,3.9,71.4,0.6,11.8,17,0.2,20,0.3,36.4,0.3,0.2,0.7,2.7,0.056
235,Raul Neto,UTA,24,42,19,23,19.3,103.5,1.2,6.8,9.6,0.9,28.1,0,2.4,6.3,4.8,4.4,16,0.056
240,Allen Crabbe,POR,24,46,20,26,26,106.1,2.4,9.1,13.1,0.8,23.5,0.1,6.3,9.2,6.4,6,20.7,0.055
240,Bojan Bogdanovic,BKN,27,44,11,33,27,106.2,3,11.1,16.6,0.5,12.4,0.1,3,11,6.1,8,25.9,0.055
240,Darren Collison,SAC,28,38,17,21,28.5,106.5,1.8,6.1,9.1,0.9,18,0,1.1,10.5,7.8,8.2,25.4,0.055
240,Mario Hezonja,ORL,21,39,18,21,13.7,100.3,1.3,9.4,13.9,0.2,10.3,0.1,7.9,4.6,2.9,3.6,11.9,0.055
240,Shaun Livingston,GSW,30,41,37,4,19.9,103.8,1.3,6,9.4,0.5,14.8,0.3,12.2,7.2,6.1,5.7,20.2,0.055
245,Beno Udrih,MEM,33,32,17,15,15.3,101.5,1.4,8.9,12.8,0.3,12.7,0,1.6,4.3,3.7,2.6,11.8,0.054
245,Derrick Williams,NYK,25,45,22,23,16.7,102.6,3,17.4,27,0.4,19.2,0.1,9.4,5.5,4.3,4,15.2,0.054
245,Donatas Motiejunas,HOU,25,14,7,7,13.5,100.3,1.6,10.7,17.2,0.4,20,0.1,15.4,6.6,4.6,4.7,14.7,0.054
245,Marco Belinelli,SAC,30,43,20,23,25.6,106,1.7,6.5,9.7,0.5,12.2,0,2.4,9.6,6.7,8,23.4,0.054
249,Arron Afflalo,NYK,30,38,18,20,33,107.5,3.3,9.7,14.5,0.3,10.1,0.2,5,10.9,9.8,7.2,30.1,0.053
249,Brandon Bass,LAL,31,38,9,29,18,103.5,2.6,14.5,22.3,0.5,15.8,0.9,54.8,6.7,5.3,5.6,19.5,0.053
249,J.J. Barea,DAL,32,39,21,18,21.6,105.1,1.6,7.5,11.4,0.4,14,0.1,2.9,6.1,6.6,7.2,18.4,0.053
249,James Johnson,TOR,29,35,22,13,15.3,101.6,1.6,10.9,15.8,0.5,20.2,0.5,35.3,3.9,4,3.9,13.7,0.053
249,Kevin Martin,SAS,33,35,12,23,22.6,105.5,1.8,7.9,11.5,0.5,14.2,0,1.3,8.5,6.1,6.2,20.7,0.053
249,Lance Stephenson,MEM,25,35,22,13,15.8,102.4,1.9,11.4,17.5,0.5,22.6,0.1,2.8,5.9,5.1,4.5,14.5,0.053
249,Marcus Thornton,WAS,29,38,20,18,19.6,104.2,1.8,9.5,14.7,0.8,17.6,0,1.3,7.2,6.3,6.3,19.6,0.053
249,Randy Foye,OKC,32,44,17,27,19.9,104,1.5,7.5,11.6,0.5,15.7,0.3,12.1,7.1,5.2,6.1,16.6,0.053
249,Ryan Kelly,LAL,25,17,0,17,13.5,100.4,3.2,22.6,34.8,0.3,15.2,0.4,22.6,3.9,5.1,3.4,14.6,0.053
249,Willie Reed,BKN,26,24,5,19,10.3,96.9,1.7,15.8,24.8,0.1,10.3,0.5,76.5,3.5,1.7,2.7,8.9,0.053
259,Marcelo Huertas,LAL,33,27,2,25,11.8,98.6,0.9,7.9,11.9,0.5,22.4,0.1,8.3,3.6,3.5,3.7,10.9,0.052
259,Markieff Morris,WAS,26,28,8,20,22.8,105.6,3.8,17.7,24.9,0.7,16.4,0.3,21.1,8.1,5.3,7.6,20,0.052
259,Myles Turner,IND,20,22,10,12,16.8,103.1,3,16.7,27.8,0.3,7.8,1.3,65.1,6.1,6.8,4.7,17.3,0.052
262,D.J. Augustin,DEN,28,32,22,10,15.4,102.4,1,6,8.6,0.4,21,0.1,4.8,5.7,3.8,4.2,14.1,0.051
262,Jarrett Jack,BKN,32,32,10,22,32.1,107.7,4,12.5,17.9,1.1,19.8,0.2,8.9,12.2,7.7,10,29.8,0.051
262,Jusuf Nurkić,DEN,21,7,3,4,13.1,100,3.3,21.7,32.9,0.1,14.3,1.3,56.3,1.4,3.4,1.4,8.9,0.051
265,Jon Leuer,PHX,27,41,13,28,20.8,105.1,4.7,22.8,33,0.6,15.8,0.4,23.7,9.1,5.2,6,18.4,0.05
265,Paul Pierce,LAC,38,40,27,13,17.4,103.5,2.6,14.6,22.8,0.5,17.1,0.2,12.9,5,4.8,4.8,14.7,0.05
265,Robin Lopez,NYK,28,46,22,24,25.1,106.4,3.5,13.2,19.5,0.2,8,1.4,40.9,9,7.3,6.2,22.9,0.05
265,Shane Larkin,BKN,23,40,10,30,20.3,104.9,1.9,9.6,14.1,1.2,36.3,0.2,9.7,7.8,3.9,5.5,19.4,0.05
265,Spencer Dinwiddie,CHI,23,9,4,5,12.3,99.5,1,8.7,11.5,0.2,10,0,0,3.6,1.6,3.2,9.3,0.05
265,T.J. McConnell,PHI,24,44,6,38,21.3,105.3,3.2,15.5,23.4,1.3,33.3,0.2,6.1,9.4,5.9,8,19.4,0.05
271,Alexis Ajinca,NOP,28,33,9,24,12.4,100.6,2.9,23.1,33.9,0.3,12.2,0.5,45.9,3.6,2.6,2.5,10.4,0.049
271,Ish Smith,PHI,27,40,13,27,25.7,106.7,2.9,10.9,16.4,1.1,26.9,0.2,7.7,9.5,6.9,7.4,23.5,0.049
271,John Henson,MIL,25,41,17,24,16.7,103.6,2.4,13.9,22,0.3,11.1,1.9,68.1,6.9,4.9,4.6,13.7,0.049
274,JaVale McGee,DAL,28,25,12,13,12,100.2,2.8,21.2,33,0.1,7.1,0.9,74.2,3.6,4.4,3.9,9.5,0.048
274,James Anderson,SAC,27,22,10,12,9.7,96.9,0.9,8.4,12,0.2,13.2,0.1,7.4,3.3,2.5,3,7.2,0.048
274,Larry Nance Jr.,LAL,23,37,9,28,20.5,105.3,3.5,16.2,25.3,0.9,26.6,0.3,15.4,7.1,6.3,6.2,19.1,0.048
277,Cole Aldrich,LAC,27,21,16,5,11.8,100.2,2.8,24.1,36.4,0.8,30.2,0.7,56,3.5,3.6,4.1,11.4,0.047
277,JaKarr Sampson,DEN,23,43,6,37,15.5,103.7,2.3,13.9,21.3,0.3,10.4,0.4,17.2,6.6,4.1,5.3,15,0.047
277,Jeremy Evans,DAL,28,26,15,11,8.9,97.2,1.6,15.4,21.4,0.2,18.8,0.3,36,3.9,2.3,2.7,6.8,0.047
277,Omer Asik,NOP,29,36,16,20,16.9,103.7,3.8,21.9,30.2,0.3,11.1,0.4,26.4,4.7,4,4.2,14.3,0.047
281,Ben McLemore,SAC,23,43,20,23,21.1,105.9,1.6,7.2,10.4,0.9,21.4,0.1,6.3,8.7,5.6,6.8,17.5,0.046
281,Emmanuel Mudiay,DEN,20,30,13,17,29.6,107.8,2.8,9.5,13.5,1,22.1,0.6,19.6,11.1,7.4,9.1,27.7,0.046
281,Enes Freedom,OKC,24,45,33,12,20.4,105.5,4.6,21.9,32,0.2,7.4,0.4,23.5,7,5.8,5.3,19,0.046
281,Sasha Vujacic,NYK,32,29,13,16,12.2,101.2,1.4,11.4,17.4,0.5,22.2,0.1,5.3,4.6,3,4.2,11.4,0.046
281,Thomas Robinson,BKN,25,39,9,30,9.9,98.5,2.2,22.4,34.1,0.4,20.3,0.5,43.5,4.2,2.7,2.8,9.2,0.046
281,Trevor Ariza,HOU,31,44,22,22,34.2,108.3,4,12,18.2,1.8,25.2,0.2,6.8,14.2,9.7,9.2,32.3,0.046
281,Zach LaVine,MIN,21,45,14,31,23,106.5,2.6,11.4,16.9,0.6,18.4,0.1,5.7,9.6,5.4,6.1,22,0.046
288,Bobby Portis,CHI,21,23,12,11,14.4,102.8,2.8,17.3,26.3,0.4,25.6,0.4,25,4.7,4.3,3.2,13.3,0.045
288,Giannis Antetokounmpo,MIL,21,44,18,26,34.1,108.5,5.7,16.9,26.1,1,18.1,1.2,26.8,12,10.5,9.4,30.5,0.045
288,Justin Anderson,DAL,22,23,12,11,7.6,95,1.1,13.5,17.6,0.3,23.1,0.2,23.5,2.3,1.9,2.4,4.9,0.045
288,Mason Plumlee,POR,26,46,20,26,26.1,107.3,5.1,19.5,27.7,0.8,22.1,0.9,42,9.6,6.1,5.3,23.1,0.045
288,Nick Collison,OKC,35,38,27,11,12.4,101.1,1.8,13.9,20.3,0.3,18,0.2,22.5,4.2,3.2,3.6,11.3,0.045
288,Thaddeus Young,BKN,28,44,11,33,32.2,108.2,6.3,20.5,28.8,1.5,29.7,0.4,17.5,12,7.2,10.2,30.9,0.045
288,Trey Lyles,UTA,20,41,17,24,18.6,104.9,3.2,18.1,26.3,0.3,11.7,0.3,14.9,5.6,4.9,4.3,15.1,0.045
295,Delon Wright,TOR,24,9,7,2,2.7,66,0.6,13.2,17.2,0,0,0,0,0.6,0.6,0.2,1.3,0.044
295,Jose Calderon,NYK,34,46,22,24,27.9,107.6,2.7,9.3,14.1,1,33.6,0.1,2.9,9.7,8.4,7.1,24.8,0.044
295,Norris Cole,NOP,27,26,12,14,24.3,106.9,3,12.5,18.5,0.8,23,0.2,5.6,6.5,7,4.9,22.8,0.044
295,Ray McCallum,SAS,25,18,17,1,9.9,98.3,0.9,9.4,13.6,0.2,12.9,0.2,16.7,2.9,2.7,2.2,7.3,0.044
299,Brandon Rush,GSW,30,35,31,4,16.1,104.5,2.3,12.7,18.1,0.3,14.1,0.3,10.8,6,4.9,5.6,15.8,0.043
299,James Jones,CLE,35,34,23,11,9.9,99.3,0.9,8.9,13.1,0.2,15.7,0.2,20,3.4,2.6,1.8,8.1,0.043
299,Joe Ingles,UTA,28,42,19,23,13.9,103.1,1.3,9.8,14.9,0.5,25.3,0.1,5.7,4.9,3.4,2.7,11.4,0.043
299,Kostas Papanikolaou,DEN,25,26,8,18,11.3,100.3,1.2,10.7,16.2,0.5,25,0.2,17.2,4.5,3.1,2.8,8.8,0.043
299,Nick Young,LAL,31,36,8,28,18.7,105.5,1.3,6.9,10.6,0.5,16.2,0.1,8.9,6.5,6,5.5,18.2,0.043
304,Aaron Harrison,CHA,21,10,6,4,4.2,84.2,0.5,11.4,17.9,0.2,16.7,0,0,1.2,0.8,2,2.8,0.042
304,Danilo Gallinari,DEN,27,38,16,22,34.5,108.9,4.6,13.9,20,0.7,13.5,0.4,12.2,11.8,8.2,9.1,30.9,0.042
304,JJ Hickson,WAS,27,18,6,12,16.9,104.7,3.6,20.6,30.2,0.6,22.2,0.7,37.5,5.7,4.9,4,15.1,0.042
304,Kosta Koufos,SAC,27,42,20,22,20.6,106.3,3.6,16.6,24.4,0.5,17.2,0.9,54.2,8.8,5.1,6.6,17.2,0.042
304,Lamar Patterson,ATL,24,29,19,10,12.8,102.5,1.6,12.7,18.7,0.2,10,0.1,6.5,3.6,2.8,3.5,11.3,0.042
304,Meyers Leonard,POR,24,39,18,21,23.3,107,4.1,17.6,24.5,0.1,5,0.3,20.7,7.7,5.6,4.9,17.3,0.042
304,Nik Stauskas,PHI,22,38,4,34,23.6,107,2.1,9,13.2,0.6,17,0.4,11.4,10.2,5.8,8.2,21.7,0.042
304,T.J. Warren,PHX,22,44,14,30,22.8,107,1.9,8.7,12.9,0.8,19.5,0.4,18.4,9.7,5.9,8.5,21.7,0.042
312,Carl Landry,PHI,32,11,3,8,12.8,103,2,15.7,25.6,0.5,14.3,0.3,15.8,6.3,4.5,3.5,12,0.041
312,Maurice Harkless,POR,23,46,20,26,17.2,105.2,2.1,11.4,17.1,0.5,22.2,0.3,22.5,6.6,4.8,3.5,13.1,0.041
312,Nemanja Bjelica,MIN,28,39,11,28,18.8,106,2.7,15,21.9,0.4,16.5,0.4,23.5,8.3,4.2,4.6,16.6,0.041
315,Donald Sloan,BKN,28,24,3,21,17,105,2.1,12.6,18.3,0.3,15.7,0,3.4,5.7,4.2,4.7,16.2,0.04
315,Kyle Singler,OKC,28,34,24,10,11.8,101.9,1.2,10.1,15.4,0.4,22.4,0.1,9.5,4.5,3.1,3.3,10.6,0.04
315,Udonis Haslem,MIA,36,21,12,9,8,97.3,1.9,23.8,34.8,0.2,16.7,0.1,12.5,2.2,2.2,1.5,6.5,0.04
318,Aron Baynes,DET,29,43,22,21,14.2,103.8,2.8,20,28.1,0.2,11.8,0.5,51.2,4.8,3.5,3.2,13,0.039
318,D'Angelo Russell,LAL,20,44,9,35,27,108.1,3.1,11.2,17.1,1.2,27.1,0.2,6,9.8,8.8,8.8,26.9,0.039
318,Kevin Seraphin,NYK,26,28,11,17,10.5,101,1.5,14.8,23.4,0.2,17.6,0.8,77.8,4.1,2.8,1.6,8.7,0.039
318,Shabazz Napier,ORL,24,36,18,18,12.1,102.6,0.8,6.5,9.9,0.5,28.8,0,1.6,4.1,2.9,3.4,9.7,0.039
318,Tyler Zeller,BOS,26,27,16,11,8.8,99.2,1.5,15.3,21.4,0.1,10,0.1,16.7,3.7,2.2,2.6,7.7,0.039
323,Chris Kaman,POR,34,6,4,2,9.8,100,1,9.7,14.3,0,0,0,0,4.8,1.7,2.5,7.7,0.038
323,Troy Daniels,CHA,24,22,11,11,9.5,100.5,0.9,9.3,13.4,0.3,16.7,0,9.1,3.2,2.3,3,6.7,0.038
323,Tyson Chandler,PHX,33,36,11,25,23.1,107.4,5.7,25.7,35.6,0.6,14.1,0.6,42.3,9.6,5.5,8.6,20.2,0.038
326,Anthony Morrow,OKC,30,39,28,11,15.5,105.2,0.9,5.9,9.1,0.5,20,0.1,5.2,5.6,4.4,4.2,15.3,0.037
326,Boban Marjanovic,SAS,27,26,25,1,8.1,98.1,2.1,25.8,37.2,0.3,20,0.5,50,2.7,1.5,2.1,7.2,0.037
326,Jason Terry,HOU,38,38,20,18,17.2,105.9,0.9,5.4,8.1,0.8,20.4,0.2,11.5,7.5,4.8,5,16.1,0.037
329,Josh Richardson,MIA,22,21,9,12,12.4,103.2,1,8.3,12.8,0.4,24.2,0.2,16.7,4.9,4,2.6,8.9,0.036
329,Lou Amundson,NYK,33,18,8,10,7.7,98.2,1.3,14.8,23,0.3,17.2,0.2,16.7,1.7,2,1.7,4.4,0.036
329,Noah Vonleh,POR,20,46,20,26,15.8,105.4,2.7,17.5,25.1,0.5,20.2,0.2,18.6,5.3,3.2,3.2,13.2,0.036
329,Tim Frazier,NOP,25,30,14,16,8.3,98.4,0.9,10.2,14.4,0.3,28.6,0,5.6,2.3,1.8,1.2,5.5,0.036
333,Jarell Eddie,WAS,24,9,4,5,7.5,98.6,1.1,15.2,21.3,0.2,15.4,0.1,20,2.4,1.7,1.9,6,0.035
333,Kyle O'Quinn,NYK,26,36,18,18,11.7,103.4,2.6,21.3,33.8,0.4,25,0.6,51.2,4.6,3.6,3.5,10.2,0.035
333,Shabazz Muhammad,MIN,23,45,14,31,20.2,107.3,2.1,10.3,15.6,0.2,7.2,0.1,4.9,8.8,5.4,5.6,19.1,0.035
336,Justin Holiday,CHI,27,25,14,11,10.4,102.6,0.9,8.3,13.8,0.5,26.5,0.2,16,4.1,3.1,2.9,8.4,0.034
337,Cleanthony Early,NYK,25,10,4,6,3.4,82.4,0.2,5,9.5,0.1,50,0.1,16.7,0.4,0.9,0.2,2.4,0.033
337,John Jenkins,PHX,25,18,10,8,9.8,101.9,0.9,8.6,12.1,0.2,11.5,0,0,3.5,2.8,3.5,8.4,0.033
337,Kelly Oubre Jr.,WAS,20,34,16,18,13.8,105.3,2.1,14.9,23.1,0.4,20,0.1,13.2,3.5,4,4,12.3,0.033
340,Jared Cunningham,CLE,25,34,25,9,10,102.7,0.8,8,12,0.3,20,0.1,9.1,4.3,1.9,1.7,8.3,0.032
340,Pat Connaughton,POR,23,18,7,11,3,79.8,0.4,15.1,22.2,0.1,20,0,0,0.9,0.4,0.5,1.1,0.032
340,Terrence Jones,HOU,24,39,19,20,23.4,108.4,3.4,14.7,22.8,0.5,10.6,0.9,31,8.7,7.2,6.5,22.8,0.032
343,Glenn Robinson III,IND,22,29,16,13,12.1,104.5,1.4,11.6,17.1,0.4,20,0.2,12.2,4.3,3.3,4,11.2,0.031
343,Kris Humphries,ATL,31,27,13,14,17.1,107.1,3.2,19.7,28.4,0.1,4,0.5,31.1,5.5,3.7,5.1,15.4,0.031
343,Mirza Teletovic,PHX,30,44,14,30,18,107.2,2.6,14.6,22.2,0.3,10.9,0.3,15.1,7.2,5.3,6.6,17.6,0.031
343,Seth Curry,SAC,25,22,9,13,10.8,103.4,0.7,6.1,9.5,0.3,17.1,0,0,3.1,3,3.1,8.7,0.031
347,Brian Roberts,POR,30,24,11,13,10.2,103.4,0.8,8.8,12.2,0.3,20,0,8.3,3,1.9,3.1,7.6,0.03
347,Devin Booker,PHX,19,39,11,28,20.4,108.1,1.5,7.6,11.3,0.5,14.9,0.1,7.7,8.3,6,6.6,19,0.03
347,James Young,BOS,20,17,8,9,8.9,102.2,1,11.3,16,0.2,16.7,0.1,9.1,2.4,1.7,2.2,7.9,0.03
347,Shelvin Mack,UTA,26,18,10,8,8.7,102.5,0.9,10.4,15.1,0.4,25.9,0,0,4.1,1.2,1.6,6.3,0.03
347,Terry Rozier,BOS,22,16,10,6,6,97.1,0.6,8.1,13.4,0,0,0,0,2,1.1,2.4,5.6,0.03
352,Christian Wood,PHI,20,14,0,14,8.1,102.7,1.6,16.8,28.6,0.4,21.7,0.4,35.7,2.7,3.1,3.5,8.1,0.029
352,Mike Muscala,ATL,24,31,18,13,11.2,104.5,1.6,14.9,23,0.3,11.1,0.5,39.5,4.3,2.5,3,9.9,0.029
352,Montrezl Harrell,HOU,22,25,11,14,10.3,104.2,1.1,10,14.8,0.2,12.5,0.2,21.4,4.2,2.6,3.5,9.8,0.029
355,Gerald Henderson,POR,28,37,16,21,16.3,107.2,2.1,13.3,18.1,0.2,11,0.2,16.7,6.3,3.8,3.4,11.8,0.028
356,Eric Moreland,SAC,24,5,1,4,4.9,96.4,1,16.1,29.4,0,0,0.8,80,1.2,2.4,1.8,3.2,0.027
356,Jameer Nelson,DEN,34,36,11,25,27.6,109.5,2.5,9.6,13.9,0.7,18,0.1,6.8,8.8,6.5,6.6,23,0.027
356,Joel Anthony,DET,33,12,8,4,4.2,92.1,0.7,0,20,0.2,50,0.3,100,1.3,1.1,0.3,2.7,0.027
356,Solomon Hill,IND,25,23,10,13,10.7,104.8,1.5,12.6,20.2,0.4,18.9,0.3,34.8,4,4,3,11.1,0.027
360,Dante Cunningham,NOP,29,41,14,27,19.6,108.5,2.6,13.9,19.6,0.5,16.2,0.4,22.9,5.9,3.5,4.3,18.7,0.026
360,Matt Bonner,SAS,36,18,17,1,5.9,98.1,0.8,12.6,18.2,0.3,35.7,0,0,1.9,2,2.1,5.2,0.026
360,Norman Powell,TOR,23,17,10,7,4.7,95.8,0.6,11.5,15.7,0.4,33.3,0,0,1.2,0.8,1.5,2.9,0.026
363,Cameron Payne,OKC,21,29,25,4,11.5,105.7,1.6,13.9,20.6,0.8,39.3,0.1,8.8,3.9,3.3,3.6,10.2,0.025
363,Cliff Alexander,POR,20,7,2,5,4.5,95.5,0.6,11.8,16.7,0.1,16.7,0.3,66.7,1.1,1.3,0.9,2.9,0.025
363,Elliot Williams,CHA,27,5,4,1,9,103.5,0.6,6.8,10,0,0,0,0,2,1.4,1.8,6,0.025
363,PJ Hairston,MEM,23,41,19,22,19.9,108.8,2.4,12.9,18.4,0.5,15.4,0.1,7.1,5.8,4.7,4.5,15.9,0.025
367,Joe Young,IND,24,19,7,12,8.2,103.6,0.9,10,15.6,0.5,30,0,0,2.9,3,2.6,9.6,0.024
367,Luis Montero,POR,23,7,2,5,3.3,89.4,0.3,10.5,16.7,0,0,0,0,2,1,0.6,1.4,0.024
367,Sergey Karasev,BKN,22,19,3,16,6.1,100.8,0.7,12.4,18.1,0.1,5,0,0,2.6,0.9,1.9,5.8,0.024
370,Charlie Villanueva,DAL,31,37,19,18,12.2,106.8,2.3,19,27.3,0.3,20.8,0.3,29.7,3.6,3.3,3.9,11.6,0.023
370,Johnny O'Bryant III,MIL,23,42,17,25,14.7,107.8,1.9,13,20.3,0.4,17,0.1,9.5,5.8,4.1,4,14.2,0.023
370,Marreese Speights,GSW,28,35,32,3,10.5,105.6,2,18.4,28.4,0.2,12.7,0.3,26.1,4,3.6,3.7,11.1,0.023
370,Richaun Holmes,PHI,22,32,5,27,14,107.6,1.2,9.1,13.4,0.3,13.3,0.7,39.3,6.6,4.2,4.7,12.3,0.023
374,Tony Wroten,NYK,23,8,0,8,18,109.2,2.4,13,18.4,0.4,13.6,0,0,10.5,5.8,7.6,17.8,0.022
375,Archie Goodwin,PHX,21,25,7,18,14.9,108.4,1.8,12.4,17.6,0.4,18.6,0.3,23.3,6.2,3.9,5.4,13.2,0.021
375,Gary Harris,DEN,21,38,15,23,30.4,110.6,2.1,7.1,10.4,1.1,23.6,0.2,8.3,10.7,7.5,7.8,27.6,0.021
375,Gary Neal,WAS,31,33,16,17,21.3,109.6,1.8,8.9,13.8,0.5,14.4,0,2.4,7.1,5.8,5.3,19.6,0.021
375,James Ennis III,NOP,25,10,5,5,3.6,94.7,0.3,0,12.5,0.3,42.9,0.2,100,2.1,0.6,0.2,2.2,0.021
375,Jordan Clarkson,LAL,24,44,9,35,32,110.6,2.7,8,12.3,1.2,25.9,0.2,5.3,11,10.5,10.2,31.5,0.021
375,Robert Sacre,LAL,27,15,2,13,13,107.5,1.3,10.4,16.1,0.1,7.4,0.5,61.5,4.4,3.8,5.2,12.4,0.021
375,Tyler Ennis,MIL,21,20,9,11,9.3,105.5,0.8,8.2,12.3,0.2,16,0.1,5.9,3.3,3.1,2.3,9,0.021
382,Adreian Payne,MIN,25,30,11,19,9.5,106,1.7,18,27.1,0.3,20.9,0.3,25,4.1,3.2,2.8,10.3,0.02
382,Greivis Vasquez,MIL,29,16,6,10,22.6,109.8,2.1,9.7,15.9,0.4,12.5,0,0,9.5,6.5,5.9,19.8,0.02
382,Rashad Vaughn,MIL,19,38,16,22,11.3,107.1,1,8.5,13.5,0.3,17.5,0.2,11.8,5.3,3.4,3.7,10.6,0.02
385,DeJuan Blair,WAS,27,24,11,13,8.2,105.6,1.3,17.4,26.4,0.3,25.8,0.1,15.4,2.3,1.8,1.9,7.9,0.019
385,Sasha Kaun,CLE,31,9,7,2,4.3,100,0.2,6.1,10,0.2,16.7,0.2,66.7,1.7,1.1,1.3,3.6,0.019
385,Tibor Pleiss,UTA,26,11,6,5,7.1,104.5,0.8,12,18,0.1,8.3,0.2,50,3.5,2.2,1.7,5.5,0.019
388,Damjan Rudez,MIN,30,17,4,13,8.3,106,0.4,4.2,6.6,0,0,0,0,3.2,1.4,2.5,7.1,0.018
388,Mike Miller,DEN,36,32,14,18,8.7,105.9,1.1,12.9,19.4,0.3,25,0.1,9.7,2.7,2.4,1.7,7.1,0.018
388,Toney Douglas,NOP,30,22,8,14,14.6,108.7,0.8,5.8,8.4,1,36.5,0,0,5,2.8,4.3,15.2,0.018
388,Tyler Hansbrough,CHA,30,24,13,11,7.7,105.2,1,13.7,21.7,0.2,22.7,0.2,33.3,2.2,1.4,1.9,6,0.018
392,Cameron Bairstow,DET,25,9,3,6,3.8,100,0.9,17.8,29.6,0.1,33.3,0.1,16.7,1.4,0.9,1.7,2.7,0.017
393,Andrea Bargnani,BKN,30,38,9,29,13.8,109,1.5,11.9,18.2,0.1,6.9,0.2,14.6,4.8,2.9,3.2,13.8,0.016
393,Drew Gooden,WAS,34,12,9,3,14.8,109.3,2.7,20.5,33,0.3,10.8,0.6,35,4.3,4.8,4.8,15.8,0.016
393,Lucas Nogueira,TOR,23,14,7,7,8.1,106.6,1.1,12,17.6,0.5,41.2,0.3,40,1.5,2.4,0.9,7,0.016
393,Sonny Weems,PHX,29,23,6,17,10.3,108.1,1,10.6,15.3,0.3,13.7,0,0,4.1,2.7,4,10,0.016
397,Cory Jefferson,PHX,25,7,2,5,6.5,105.3,1.4,0,29.4,0,0,0.1,25,3,1.4,3.6,7.1,0.015
397,Erick Green,DEN,25,3,1,2,2.5,93.3,0.3,0,20,0,0,0,0,1.7,0,0.3,2,0.015
397,Jarnell Stokes,MEM,22,4,0,4,2.8,95.5,0.5,0,25,0,0,0,0,1.8,0,1.8,2.5,0.015
397,Markel Brown,BKN,24,27,3,24,10.9,108.4,1.1,11.9,18.3,0.3,25,0.1,19,4.8,2.5,2.6,9.7,0.015
401,Bruno Caboclo,TOR,20,2,2,0,1.2,83.3,0.5,0,33.3,0.5,100,0,0,0.5,0,0,2,0.014
402,C.J. Wilcox,LAC,25,4,2,2,2.9,100,0,0,0,0,0,0,0,1,0,0.8,3.5,0.013
402,Darrun Hilliard,DET,23,14,7,7,6.4,105.8,0.6,9.2,12.1,0.1,8.3,0,0,1.1,1.6,0.6,4.9,0.013
402,Devyn Marble,ORL,23,8,6,2,2.5,97.7,0.3,0,15.4,0.1,100,0,0,0.4,0.5,0.8,2,0.013
405,Julius Randle,LAL,21,45,9,36,26.6,111.2,7.3,27.6,41.8,0.7,16.6,0.4,16.8,9.4,8.1,9.3,25.9,0.012
406,Quincy Acy,SAC,25,22,8,14,11,109.5,1.5,13.7,20.6,0.4,18,0.4,34.8,4.7,3.7,3,9,0.011
406,Steve Novak,MIL,33,5,5,0,4.2,104.5,0.6,0,17.6,0,0,0,0,1.4,0.4,1,5.2,0.011
408,Andre Miller,SAS,40,20,6,14,10.8,110.2,0.6,5.9,9.6,0.5,30,0,0,3.5,2.5,2.7,7.9,0.008
408,Ian Clark,GSW,25,38,35,3,9.9,110,0.9,8.6,13.1,0.3,19.3,0.2,18.8,4.1,2.8,4,9.9,0.008
408,Lou Williams,LAL,29,44,9,35,29.2,111.9,2.3,7.7,11.7,1,22.1,0.3,8.7,10.5,9.1,10.3,29.4,0.008
411,Amar'e Stoudemire,MIA,33,16,6,10,11.1,110.6,1.6,14.2,22.3,0.2,21.4,0.4,36.8,3.4,2.7,1.5,9,0.007
411,James Michael McAdoo,GSW,23,25,23,2,5.9,108.7,0.7,12.8,18.2,0.3,38.9,0.2,38.5,2.9,1.3,2.3,5.5,0.007
411,Russ Smith,MEM,25,15,6,9,4.4,108.6,0.5,12.9,19,0.3,35.7,0.1,20,2.8,0.8,1.7,3.5,0.007
414,Kenneth Faried,DEN,26,37,14,23,26.5,112,5.3,21.1,29.9,0.5,12.8,1.1,37.5,9.2,6.3,7.5,25.5,0.006
415,Brandan Wright,MEM,28,7,3,4,17.1,112.2,2.6,14.5,22.8,0.1,7.1,1.4,62.5,8.3,4.1,5.1,14,0.003
415,Joffrey Lauvergne,DEN,24,25,9,16,18.3,112.3,3.9,20.9,31.7,0.2,10.2,0.3,17.1,6.9,5.5,6.3,17.7,0.003
